PuzzleId,FEN,Moves,Rating,Themes
oA5sr,2kr3r/ppp2ppp/3b1n2/4q3/1P6/P3NB1P/2P1QPP1/R4RK1 w - - 3 17,e3c4 e5h2,740,mate mateIn1 middlegame oneMove
xmMY6,q1r2rk1/5p2/pR2p1pB/2Ppn3/P5P1/3Q4/5P1P/2R3K1 w - - 0 32,d3d4 e5f3 g1f1 f3d4,740,crushing fork middlegame short
4khik,r1bqkR2/p2pp3/n1p1P1p1/2p5/2P5/P1Q5/1P4PP/RN4K1 b - - 0 18,e8f8 c3h8,741,mate mateIn1 middlegame oneMove
0TCrY,8/p7/8/P2p1p1p/kPp1b2K/2P4P/8/3R4 w - - 3 39,h4h5 e4f3 h5h4 f3d1,742,crushing endgame fork short
EVXPc,r4rk1/pp3ppp/2p1p3/2P1n2q/1PR3n1/P2P1NP1/4PPBP/3Q1RK1 w - - 7 20,f3e5 h5h2,743,kingsideAttack mate mateIn1 middlegame oneMove
h80eg,r2qkb1r/pp1np1pp/2p2n2/3p2B1/3P2b1/2PB1N2/PP3PPP/RN1QK2R b KQkq - 3 8,h7h6 d3g6,743,doubleBishopMate mate mateIn1 oneMove opening
hEExJ,1k1r4/pp1n1ppp/5q2/Q1p5/8/P1R5/1PP3PP/1K6 b - - 3 27,f6a6 a5d8,743,endgame hangingPiece mate mateIn1 oneMove queensideAttack
lBMIy,2kr3r/pp1n1pp1/2p1p2p/8/P1B1PB2/2bP4/6PP/1R3R1K b - - 1 22,b7b6 c4a6,744,bodenMate mate mateIn1 middlegame oneMove
3xU8T,r1b2r1k/5ppp/p2Rpb2/1p5q/8/1B2B1Q1/PPP2PPP/3R2K1 w - - 5 20,e3d4 h5d1,746,backRankMate hangingPiece mate mateIn1 middlegame oneMove
YABM0,6k1/pp2r1Rq/4p2p/3pB1pQ/3Pp3/2P5/PP4PP/6K1 b - - 0 30,e7g7 h5e8,746,endgame mate mateIn1 oneMove
IF6dS,r5k1/1p5p/p1b2pp1/2Bqp3/7Q/2P5/PP3PPP/R3R1K1 w - - 3 19,e1e2 d5g2,747,kingsideAttack master masterVsMaster mate mateIn1 middlegame oneMove
GgeGQ,4r1k1/6pp/8/3N4/4p3/3nP2P/6P1/1R4K1 b - - 1 39,e8c8 d5e7 g8f7 e7c8,748,crushing endgame fork master short
VfMnh,5k2/6R1/5Kp1/4P3/5r2/8/8/8 w - - 10 56,f6g6 f4g4 g6f5 g4g7,748,crushing deflection endgame rookEndgame short skewer
4K85X,1r2R2k/p5qp/5Q2/4R3/8/3r2P1/5PP1/6K1 b - - 3 35,b8e8 e5e8,749,endgame master masterVsMaster mate mateIn1 oneMove
BDgyq,rnb2rk1/5p2/pq2p2p/2pp4/1p4Q1/1P1PP3/PBP5/2KR1BN1 b - - 1 18,g8h7 g4g7,749,mate mateIn1 middlegame oneMove
C2fnC,r3r1k1/ppp2ppp/5B2/b2q4/2p1N1Q1/P7/1P3PPP/R4RK1 b - - 2 17,e8e4 g4g7,749,kingsideAttack mate mateIn1 middlegame oneMove
LXFmn,7r/p1kb1R1p/Q1pp4/2q5/4P3/1P1P4/PKP3PP/8 w - - 1 24,f7d7 c7d7 a6b7 d7e6,749,advantage defensiveMove endgame hangingPiece short
eli6x,5Q2/5pk1/p4Np1/2q5/8/1P2b3/6PP/5R1K b - - 0 38,g7f8 f6d7 f8e7 d7c5,749,crushing endgame fork master short
0FxNY,3r1r1k/pp3pbQ/2n2N2/2P5/q2P4/P1B2P2/2b1P3/R3KBNR b KQ - 0 19,c2h7 h1h7,750,arabianMate kingsideAttack mate mateIn1 middlegame oneMove
Bkyz3,6r1/pp2q2k/3b3P/8/2pP4/2P5/PP1BN1Q1/5R1K w - - 5 33,g2f3 e7h4 f3h3 h4h3,750,mate mateIn2 middlegame short
G0JoV,3r2k1/3P4/p6q/1p3pp1/1P1R2pP/P4bB1/5P1K/4RB2 b - - 2 35,f5f4 e1e8 h6f8 e8f8,750,crushing master middlegame short
OqRRT,6k1/3b4/3P4/7p/nB2N3/P2BK3/7r/8 b - - 3 53,h5h4 e4f6 g8g7 f6d7,751,advantage endgame fork master short
SoIRx,6k1/p1p1r1p1/1p2pNQp/1B3p2/7P/5P2/P1p3PK/2q5 b - - 1 33,g8h8 g6h7,751,endgame mate mateIn1 oneMove
feC8w,rn2kbnr/ppp1qppp/8/4p3/2B1P3/5QP1/PPPP3P/RNB1K2R w KQkq - 1 8,e1g1 e7c5 g1h1 c5c4,751,advantage fork opening short
1gvRn,2kr4/1p2R1p1/p1p4p/3r1P2/1P3QP1/7P/Pq3PK1/R7 b - - 2 29,b2a1 f4c7,753,endgame mate mateIn1 oneMove
7UsXH,r1b2kQ1/ppp2p2/4pB2/3pP3/2nP4/3B1N2/qPP2PP1/2K4R b - - 0 20,f8g8 h1h8,753,master mate mateIn1 middlegame oneMove operaMate
nYzqF,r1bq1r1k/1pnp2p1/p3pNQp/8/8/3B1P2/PP3P1P/R1B2RK1 b - - 2 18,d8f6 g6h7,753,mate mateIn1 middlegame oneMove
YUxIu,1r4rk/6pp/2q2p2/p6R/7Q/b6P/5PP1/B2R2K1 b - - 9 32,h7h6 h5h6 g7h6 h4h6,754,mate mateIn2 middlegame sacrifice short
ph6Yc,rn2kb2/ppp3p1/3p1qN1/7p/4n1b1/8/PPPPBPPP/RNBQK2R w KQq - 2 9,g6f8 f6f2,755,attackingF2F7 mate mateIn1 middlegame oneMove
0FiLk,r4r1k/3n2pp/3N1p2/pp1bP1q1/2p5/2P4Q/4B1PP/R4RK1 w - - 0 24,h3d7 g5g2,756,kingsideAttack mate mateIn1 middlegame oneMove
GoBic,6k1/p3ppb1/3p1q2/7p/1P5P/Q7/2B3P1/1K1R4 w - - 1 36,a3b3 f6a1,756,endgame master mate mateIn1 oneMove
peU84,8/6k1/R2P2p1/1p6/4n2B/1P1r2p1/P5PK/8 w - - 0 44,h2h3 e4f2,756,endgame master mate mateIn1 oneMove
5RR6o,r2q1rk1/3bbppp/2n1p1n1/1p1pP1N1/pPpP1P2/P1P1B3/2QNB1PP/R4RK1 b - - 1 15,g6f4 c2h7,757,kingsideAttack mate mateIn1 middlegame oneMove
DKj7y,8/8/7k/5np1/2K5/5P2/8/3B4 w - - 3 52,c4d5 f5e3 d5d4 e3d1,757,crushing endgame fork short
3liZf,1n1r2k1/p1r2pp1/1p1qp2p/8/3b3P/3B4/3R1PP1/1Q1KN2R b - - 1 30,d4f6 d3h7 g8h8 d2d6,758,advantage discoveredAttack middlegame short
I1zuo,3r4/1p3kp1/8/4b3/4p1K1/P1PpBp1P/1P3P2/3R4 b - - 7 34,f7f6 e3g5 f6e6 g5d8,758,advantage endgame short skewer
3iGZq,r3k3/5pp1/p1N5/1p1PP3/2n1Q3/2N5/P1Kq4/7R w q - 4 32,c2b3 d2b2,759,master mate mateIn1 middlegame oneMove
7l9he,5rk1/6p1/p2q3p/3p4/P1p1p2Q/2P1P2P/1n4P1/1R3N1K w - - 0 31,b1b2 f8f1,759,endgame hangingPiece mate mateIn1 oneMove
TXK92,6k1/4Rb2/4p1p1/3pP1P1/p3r2P/P3B3/K7/8 w - - 5 46,e3d2 e4e2 e7b7 e2d2,759,crushing endgame pin short
TlSL4,r5k1/1b1nqpp1/4p2p/2r5/P7/3Q1N1P/2B2PP1/R4RK1 b - - 1 24,b7f3 d3h7 g8f8 h7h8,759,mate mateIn2 middlegame short
t8cSx,rnbqk2r/pppp2pp/4pb2/4N2Q/3Pp3/8/PPP2PPP/RN2KB1R b KQkq - 1 7,e8f8 h5f7,759,mate mateIn1 oneMove opening
nArJP,2r2r2/4n2p/8/p3P3/1p5k/5B2/4NK2/2B2R2 b - - 11 38,e7g6 f1h1,760,mate mateIn1 middlegame oneMove pillsburysMate
udr4Z,q1r3Qk/p5pp/p6N/2b5/4b1P1/P6P/1PP2P2/R4RK1 b - - 8 26,c8g8 h6f7,760,mate mateIn1 middlegame oneMove smotheredMate
PNYk7,2rr2k1/1p2qppp/p3b3/6N1/1P5P/P5P1/2n2PB1/RQ3RK1 b - - 2 23,c2a1 b1h7 g8f8 h7h8,761,kingsideAttack mate mateIn2 middlegame short
g1IBa,r3r1k1/pp2q2p/3p1p1P/2PP2p1/6P1/Pn1BPQ2/1P6/2K1R2R w - - 1 22,c1b1 b3d2 b1a2 d2f3,762,crushing fork master middlegame short
J4yoS,5r1k/pb3rpp/8/2Q5/4q3/P4PP1/1Pp4P/2R2RK1 b - - 0 25,f7f3 c5f8 f3f8 f1f8,763,backRankMate mate mateIn2 middlegame short xRayAttack
Jh4lU,4r1k1/2p3pp/3p4/p2P4/2P1bN2/1PQ5/PR2Kpr1/8 b - - 0 36,f2f1q e2f1 g2b2 c3b2,763,advantage hangingPiece middlegame short
TrzQ6,1r4k1/p3P2p/6p1/2pN1p2/q1P2P2/5BP1/P6P/4R1K1 b - - 3 27,b8e8 d5f6 g8f7 f6e8,763,crushing endgame fork short
ewWPh,r2q1rk1/2p2p1B/4pn1B/4n1Q1/3P2P1/bp5N/1P3P1P/1K5R b - - 1 21,g8h7 g5g7,763,mate mateIn1 middlegame oneMove
lUCrn,r1b1kb1r/ppB1qppp/8/3p4/8/1P6/P1PPBPPP/RN1KR3 b kq - 1 10,e7c7 e2b5 e8d8 e1e8,763,discoveredCheck doubleCheck mate mateIn2 middlegame operaMate short
wNMts,2knR3/ppp2p1p/6p1/2qr4/5P2/2P3P1/PPQB2PK/8 w - - 2 22,e8e2 d5h5,763,endgame mate mateIn1 oneMove
A9LUI,r4rk1/pp3ppp/4b2q/3pB3/Q2P4/6R1/P4PPP/2R3K1 w - - 6 20,e5g7 h6c1 a4d1 c1d1,764,backRankMate hangingPiece mate mateIn2 middlegame short
Rb5WP,5k2/pp1Q4/1q3p2/3p3r/2pP4/2P5/P1PBNP2/K7 w - - 0 31,e2f4 h5h1 d2c1 h1c1,764,endgame mate mateIn2 short
VhPGE,6rk/p3brpQ/2pn1p2/4pP2/1q1pP3/1P4R1/P1P2NPP/2BR2K1 b - - 0 27,h8h7 g3h3,765,master mate mateIn1 middlegame oneMove
cRIZ4,6k1/6r1/4P3/3P2r1/2p1Q1P1/2P4p/7P/6K1 w - - 1 42,d5d6 g5g4 g1f2 g4e4,765,crushing endgame fork queenRookEndgame short
ct8Dn,2r4k/p3b1pp/1q2pr2/1Pp5/2Q1P3/P4N2/6PP/2R2R1K w - - 1 27,f3g5 f6f1 c1f1 e7g5,765,crushing discoveredAttack kingsideAttack middlegame short
ixPFa,4rn1k/4q1p1/3b1p1p/5P2/1Pp1n1Q1/p4N1P/P4PK1/B3R1R1 w - - 4 34,g2h1 e4f2 h1g2 f2g4,765,crushing fork master masterVsMaster middlegame short
se6fv,5r1k/1p1b1pp1/1q2p2p/p2pPN2/1b5P/2r1B1Q1/P4PP1/1R2R1K1 b - - 1 26,c3e3 g3g7,765,kingsideAttack mate mateIn1 middlegame oneMove
xavgD,2r4k/pp5p/6p1/8/2Ppn3/1P3N2/3K1PPP/1R6 w - - 0 27,d2e2 e4c3 e2d3 c3b1,765,crushing endgame fork short
I5ZME,6k1/1p1b3p/1P1p2pB/p7/3bNP2/3R3P/P5PK/2r5 b - - 2 30,d4b6 e4f6 g8f7 f6d7,766,crushing endgame fork short
Za22T,4Q3/ppk5/1q1r3p/6b1/4N3/2P2N2/P4PPP/3R2K1 w - - 8 33,d1d6 b6b1 d6d1 b1d1 f3e1 d1e1,766,endgame long mate mateIn3
2bMSI,r1b1kb1r/ppp2ppp/8/2p1P3/3q2n1/8/PPP1BPPP/RNBQK2R w KQkq - 0 8,b1d2 d4f2,767,attackingF2F7 mate mateIn1 oneMove opening
Bc8J9,r1b1nk2/1p3pp1/n1p4p/p3P2Q/2q5/1PN5/P1P3PP/R4R1K b - - 0 16,c4c3 h5f7,767,mate mateIn1 middlegame oneMove
QMIyO,3r1rk1/p1q1bppp/2n3b1/1pp2PB1/6n1/2P4P/PPBN3N/R3QRK1 w - - 0 18,g5e7 c7h2,767,kingsideAttack mate mateIn1 middlegame oneMove
H6rT8,8/4p2p/4p1kB/3bn1P1/3R3P/1pP5/8/2K5 w - - 0 34,d4f4 e5d3 c1d2 d3f4,768,crushing endgame fork short
MzYjZ,4Q3/5pk1/5r1p/8/5KP1/8/8/8 w - - 9 57,f4e5 f6e6 e8e6 f7e6,768,crushing endgame fork master queenRookEndgame short
26JYk,1r5k/5Qpq/3Pp2p/p7/Pp6/6R1/5P1K/8 b - - 0 33,h7f5 f7g7,769,endgame master mate mateIn1 oneMove
